UNIQUE_WELLBORE_IDENTIFIER,WATER_DEPTH
AO 31-TITANIA-1,5365.0
AO 31-TITANIA-2,5985.0
AO 31-TITANIA-2ST1,5985.0
AO 31-UMBRIEL-1,6384.0
AO 31-URANO-1,5882.0
AO 31-URANO-1ST1,5882.0
AO 31-URANO-2,4250.0
AO 31-URANO-2ST1,4250.0
AO 31-URANO-2ST2,4250.0
AO 31-URANO-2ST3,4250.0
AO 31-VENUS-1,4506.0
AO 31-VENUS-H01,2009.550048828125
AO 31-VENUS-H02,2011.4200439453125
AO 33-FUNGE-1,4825.0
AO 33-JINGUINGA-1,3739.0
AO 17-DALIA-764,1374.699951171875
AO 17-DALIA-765-1P,1224.199951171875
AO 17-DALIA-766B-1P,1269.0
AO 17-DALIA-768-2P,1298.699951171875
AO 17-GIRASSOL-115ST1,
AO 17-GIRASSOL-1,4128.0
AO 17-GIRASSOL-2AR,2850.0
AO 17-GIRASSOL-2B,3552.0
AO 17-GIRASSOL-3,3148.0
AO 17-GIRASSOL-101,
AO 17-GIRASSOL-101ST1,
AO 17-GIRASSOL-102,
AO 17-GIRASSOL-102ST1,
AO 17-GIRASSOL-102ST2,
AO 17-GIRASSOL-103,
AO 17-GIRASSOL-103 AXE3,
AO 17-GIRASSOL-103ST1,
AO 17-GIRASSOL-104,
AO 17-GIRASSOL-105,
AO 17-GIRASSOL-106,
AO 17-GIRASSOL-107,
AO 17-GIRASSOL-107ST1,
AO 17-GIRASSOL-108,
AO 17-GIRASSOL-110,
AO 17-GIRASSOL-111,
AO 17-GIRASSOL-112,
AO 17-GIRASSOL-113,
AO 17-GIRASSOL-114,
AO 17-GIRASSOL-114ST1,
AO 17-GIRASSOL-115,
AU Ocean Hill 1,
AO 17-GIRASSOL-115R,
AO 17-GIRASSOL-116,
AO 17-GIRASSOL-117,
AO 17-GIRASSOL-118,
AO 17-GIRASSOL-119,
AO 17-GIRASSOL-120,
AO 17-GIRASSOL-121,
AO 17-GIRASSOL-122,
AO 17-GIRASSOL-123,
AO 17-GIRASSOL-123ST1,
AO 17-GIRASSOL-124,
AO 17-GIRASSOL-124ST1,
AO 17-GIRASSOL-125,
AO 17-GIRASSOL-126,
AO 17-GIRASSOL-126ST1,
AO 17-GIRASSOL-127,
AO 17-GIRASSOL-128,
AO 17-GIRASSOL-129,
AO 17-GIRASSOL-130,
AO 17-GIRASSOL-131,
AO 17-GIRASSOL-132,
AO 17-GIRASSOL-134,
AO 17-HORTENSIA-1,2050.0
AO 17-JACINTO-1,3247.0
AO 17-JASMIM-1,2795.0
AO 17-JASMIM-2,2810.0
AO 17-JASMIM-2G1,2810.0
AO 17-JASMIM-201,
AO 17-JASMIM-201ST1,
AO 17-JASMIM-201ST2,
AO 17-JASMIM-202,
AO 17-JASMIM-202B,
AO 17-JASMIM-203,
AO 17-JASMIM-204,
AU Peron 1,
AO 17-JASMIM-205,
AO 17-JASMIM-206,
AO 17-JASMIM-207,
AO 17-LIRIO-1,3126.0
AO 17-LIRIO-2,3454.0
AO 17-LIRIO-451PH,1343.800048828125
AO 17-LIRIO-452B,1332.5999755859375
AO 17-LIRIO-453,1402.4000244140625
AO 17-LIRIO-455,1333.199951171875
AO 17-LIRIO-456,1333.5999755859375
AO 17-MARGARIDA-1,4570.0
AO 17-ORQUIDEA-1,1197.0
AO 17-ORQUIDEA-551,1196.5
AO 17-ORQUIDEA-552,1182.0
AO 17-ORQUIDEA-553,1179.0999755859375
AO 17-ORQUIDEA-651,1193.4000244140625
AO 17-ORQUIDEA-652,1167.800048828125
AO 17-ORQUIDEA-655,1179.699951171875
AO 17-PERPETUA-1,796.0
AO 17-PERPETUA-2,796.0
AO 17-PERPETUA-1ST1,796.0
AO 17-PERPETUA-601,798.0
AO 17-PERPETUA-603,648.1500244140625
AO 17-PERPETUA-604B,786.0
AO 17-PERPETUA-606,785.2999877929688
AO 17-PERPETUA-607ST1,618.0
AO 17-PERPETUA-608A,758.5
AO 17-PERPETUA-610,743.5999755859375
AO 17-PERPETUA-612,743.7999877929688
AO 17-PERPETUA-617,745.4000244140625
AO 17-PERPETUA-619A,639.7999877929688
AU Pinjarra 1,
AO 17-PERPETUA-622,797.7999877929688
AO 17-PERPETUA-623,784.5999755859375
AO 17-ROSA-1,2967.0
AO 17-ROSA-2,2890.0
AO 17-ROSA-3,
AO 17-ROSA-251,
AO 17-ROSA-255,1368.0
AO 17-ROSA-3 G1,
AO 17-ROSA-3 G1ST2,
AO 17-ROSA-3 G1ST3,
AO 17-ROSA-301,
AO 17-ROSA-302,
AO 17-ROSA-303,
AO 17-ROSA-304,
AO 17-ROSA-305,
AO 17-ROSA-306,
AO 17-ROSA-307,
AO 17-ROSA-308,
AO 17-ROSA-309,
AO 17-ROSA-310,
AO 17-ROSA-311,
AO 17-ROSA-312,
AO 17-ROSA-313,1387.4000244140625
AO 17-ROSA-401,
AO 17-ROSA-402,
AO 17-ROSA-403,
AO 17-ROSA-404,
AO 17-ROSA-405,
AO 17-ROSA-406,
AO 17-ROSA-407,
AO 17-ROSA-408,
AO 17-ROSA-409,
AO 17-ROSA-410,
AO 17-TULIPA-1,2525.0
AO 17-VIOLETA-1,2950.0
AO 17-VIOLETA-2,2529.0
AO 17-ZINIA-1,2066.0
AO 17-ZINIA-2,2114.0
AO 17-ZINIA-3,2200.0
AO 17-ZINIA-501ST2,678.5
AO 17-ZINIA-502ST1,736.2999877929688
AO 17-ZINIA-503,781.2999877929688
AO 17-ZINIA-504,757.4000244140625
AO 17-ZINIA-505B,
AO 17-ZINIA-507,662.8300170898438
AO 17-ZINIA-508,680.0
AO 17-ZINIA-509,680.5
AO 17-ZINIA-510,724.2999877929688
AO 18-CESIO-1ST1,2504.0
AO 18-CHUMBO-1,3029.0
AO 18-COBALTO-1,5048.0
AO 18-CROMIO-1,2530.0
AO 18-GALIO-1,3470.0
AO 18-PALADIO-1,3300.0
AO 18-PLATINA-1,2236.0
AO 18-PLUTONIO-1,3590.0
AO 18-PLUTONIO-2A,
AO 18-PLUTONIO-2B,3312.0
AO 19-MARIPOSA-1B,3570.0
AO 20-BALEIA-1A,3886.0
AO 20-DELFIM-1,3299.0
AO 21-IONA-1,3081.0
AO 21-KANGANDALA-1,2517.0
AO 22-SERRA DO MOCO-1,2504.0
AO 23-AZUL-1,5367.0
AO 24-SEMBA-1,3746.0
AO 24-VARINA-1,2600.0
AO 25-JAGUAR-1,3110.0
AO 25-LEAO-1,2730.0
AU Point Louise 1,
GB 9/18a-B7,358.0
AO 25-PANTERA-1,3383.0
AO 31-ASTRAEA-1,3840.0
AO 31-ASTRAEA-2,3791.0
AO 31-ASTRAEA-3,3997.0
AO 31-ATLAS-1,5774.0
AO 31-CERES-1,4955.0
AO 31-CORDELIA-1,4065.0
AO 31-DIONE-1,2445.0
AO 31-DIONE-1ST1,2445.0
AO 31-DIONE-1ST2,2445.0
AO 31-ELARA-1,3738.0
AO 31-ELARA-1ST1,3738.0
AO 31-HEBE-1,4823.0
AO 31-JANUS-1,2965.0
AO 31-JANUS-1ST1,2965.0
AO 31-JUNO-1,3200.0
AO 31-JUPITER-1,4402.0
AO 31-LEDA-1,5380.0
AO 31-LEDA-1ST1,5380.0
AO 31-MARTE-1,4193.0
AO 31-MARTE-K01,1984.260009765625
AO 31-MERCURIO-1,2457.0
AO 31-MERCURIO-1ST1,2457.0
AO 31-MERCURIO-1ST2,2457.0
AO 31-MIMAS-1,4532.4
AO 31-MIRANDA-1,5183.0
AO 31-OBERON-1,3375.0
AO 31-PALAS-1,3770.0
AO 31-PALAS-2,2462.0
AO 31-PALAS-2ST1,2462.0
AO 31-PALAS-2ST2,2462.0
AO 31-PALAS-2ST3,2462.0
AO 31-PLUTAO-1,2126.0
AO 31-PLUTAO-1A,3048.0
AO BERO-GM85,
AO BERO-GM91,
AO BERO-HMBWP102,
AO BERO-HMBWP72,
AO BERO-IALWP41,
AO BERO-IALWP42,
AO BERO-IALWP43,
AO BERO-IALWP44,
AO BERO-IALWP45,
AO BERO-IALWP46,
AO BERO-IALWP49,
AO BERO-IALWP50,
AO BERO-IALWP51,
AO BERO-IALWP52,
AO BERO-IALWP53,
AO BERO-IALWP54,
AO BERO-IALWP58,
AO BERO-IALWP60,
AO BERO-IALWP64,
AO BERO-IALWP65,
AO BERO-IALWP66,
AO BERO-IALWP68,
AO BERO-IALWP70,
AO BERO-MF1,
AO BERO-MF126,
AO BERO-MF14,
AO BERO-MF21,
AO BERO-MF23,
AO BERO-MF27,
AO BERO-MF29,
AO BERO-MF46,
AO BERO-MF48,
AO BERO-MF5,
AO BERO-MF51,
AO BERO-MF54,
AO BERO-MF55,
AO BERO-MF57,
AO BERO-MF58,
AO BERO-MF62,
AO BERO-MF65,
AO BERO-MF68,
AO GEOMAGO-000032,
AO GEOMAGO-000033,
AO GEOMAGO-000037,
AO GEOMAGO-000040,
AO GEOMAGO-000061,
AO GEOMAGO-000062,
AO GEOMAGO-000114,
AO GEOMAGO-000133,
AO GEOMAGO-000148,
AO GEOMAGO-000164,
AO GEOMAGO-000166,
AO GIRAUL-GM66,
AO GIRAUL-GM67,
AO GIRAUL-MF39,
AO GIRAUL-MF40,
AO GIRAUL-MF74,
AO GIRAUL-MF76,
AO GAIO-IRSWP7,
AO GAIO-IRSWP7&8,
AO GANDA-3,
AO GANDA-5,
AO 03-GUELENGUE-1,85.0
AO IALWP1-CASA BLANCA BEACH,
AO IALWP25-BALL PILLOW,
AO IALWP26-BALL PILLOW,
AO IALWP28-ROADSIDE OUTCROP,
AO IALWP3-UNKNOWN NAME,
AO IALWP31-BABA,
AO IALWP34-BALL PILLOW,
AO IALWP35-BALL PILLOW,
AO IALWP36-BALL PILLOW,
AO IALWP4-ROAD TO NAMIBE,
AO IALWP41-GIRAUL RIVER,
AO IALWP43-GIRAUL VALLEY,
AO IALWP51-PONTA NEGRA,
AO IALWP52-INAMANGONDO,
AO IALWP56-INAMANGONDO RIVER,
AO IALWP57-INAMANGONDO,
AO IALWP61-LUCIRA WEST,
AO IALWP62-PUNTA SANTAMARIA,
AO INAMANGUANDO WPIRS-103,
AO INAMANGUANDO WPIRS-104,
AO BERO-MF91,
AO BERO-MF92,
AO BERO-MF93,
AO BERO-MF94,
AO BERO-MF95,
AO BERO/NAMIBIE AREA WP29-1,
AO BERO2014,
AO BERRO WPIRS-54,
AO BERRO WPIRS-55,
AO BERRO WPIRS-56,
AO BERRO WPIRS-69,
AO BERRO WPIRS-75,
AO BERRO WPIRS-81,
AO BERRO WPIRS-86,
AO BAGRE-1,22.0
AO BAMVO-1,
AO BENGUELA-2A,420.0
AO BENTO-1,
AO BENTO-3,
AO 03-BUFALO-1,83.0
AO 01-CAJUEIRO-1,3247.0
AO CAMBANDGE-GM68,
AO CAMBANDGE-GM69,
AO CAMBANDGE-GM70,
AO CANGULO2014,
AO CANICO2014,
AO CARANJAMBO WPKV-253,
AO CARANJAMBO WPKV-254,
AO CARANJAMBO WPKV-255,
AO CARANJAMBO WPKV-256,
AO CARANJAMBO WPKV-257,
AO CARANJUMBA WPIRS-113,
AO CARANJUMBA WPIRS-116,
AO CARANJUMBA WPIRS-94,
AO CARANJUMBA-IALWP34,
AO CARANJUMBA-IALWP35,
AO CARANJUMBA-IALWP36,
