UNIQUE_WELLBORE_IDENTIFIER,WATER_DEPTH
NO 25/11-U-17,128.7
NO 25/11-U-18,128.9
NO 25/11-U-19,129.1
NO 25/11-U-2,
NO 25/11-U-20,129.5
NO 25/11-U-21,129.2
NO 25/11-U-22,129.0
NO 25/11-U-23,128.2
NO 25/11-U-24,127.9
NO 25/11-U-25,128.0
NO 25/11-U-26,127.7
NO 25/11-U-27,126.1
NO 25/11-U-28,126.0
NO 25/11-U-29,126.1
NO 25/11-U-31,127.4
NO 25/11-U-32,129.5
NO 30/3-A-10 A,175.0
NO 30/3-A-10 B,175.0
NO 30/3-A-10 BT2,175.0
NO 30/3-A-10 C,175.0
NO 30/3-A-10 T2,175.0
NO 30/3-A-11,175.0
NO 30/3-A-11 A,175.0
NO 30/3-A-11 B,175.0
NO 30/3-A-12,175.0
NO 30/3-A-12 A,175.0
NO 30/3-A-12 AT2,175.0
NO 30/3-A-13 A,175.0
NO 30/3-A-13 AY1,175.0
NO 30/3-A-13 BY2,175.0
NO 30/3-A-14,175.0
NO 30/3-A-14 A,175.0
NO 30/3-A-15,175.0
NO 30/3-A-15 A,175.0
NO 30/3-A-15 AT2,175.0
NO 30/3-A-15 B,175.0
NO 30/3-A-16,175.0
NO 30/3-A-16 T2,175.0
NO 30/3-A-17,175.0
NO 30/3-A-17 B,175.0
NO 30/3-A-17 C,175.0
NO 25/1-11 A,107.0
NO 25/1-11 R,107.0
NO 25/1-12,0.0
NO 25/1-2,103.0
NO 25/1-3,105.0
NO 25/1-4,107.0
NO 25/1-5,102.0
NO 25/1-6,105.0
NO 25/1-7,101.0
NO 25/1-7 R2,101.0
NO 25/1-7 R3,101.0
NO 25/1-8 S,102.0
NO 25/1-8 SR,102.0
NO 25/1-8 SR2,102.0
NO 25/1-8 SR3,102.0
NO 25/1-8 SR4,102.0
NO 25/1-9,112.0
NO 25/1-A-1,98.0
NO 25/1-A-10,98.0
NO 25/1-A-12,98.0
NO 25/1-A-13,98.0
NO 25/1-A-14,98.0
NO 25/1-A-15,98.0
NO 25/1-A-16,98.0
NO 25/1-A-17,98.0
NO 25/1-A-17 A,98.0
NO 25/1-A-18,98.0
NO 30/9-B-11 BT3,109.0
NO 30/9-B-11 BT4,109.0
NO 30/9-B-11 BT5,109.0
NO 30/9-B-11 C,109.0
NO 30/9-B-11 CT2,109.0
NO 30/9-B-12,109.0
NO 30/9-B-12 A,109.0
NO 30/9-B-12 B,109.0
NO 30/9-B-12 T2,109.0
NO 30/9-B-13,109.0
NO 30/9-B-13 A,109.0
NO 30/9-B-14 A,109.0
NO 30/9-B-14 AT2,109.0
NO 30/9-B-14 BT2,109.0
NO 30/9-B-14 C,109.0
NO 30/9-B-14 D,109.0
NO 30/9-B-15,109.0
NO 30/9-B-15 T2,109.0
NO 30/9-B-16,109.0
NO 30/9-B-16 A,109.0
NO 30/9-B-16 AT2,109.0
NO 30/9-B-16 T2,109.0
NO 30/9-B-17,109.0
NO 30/9-B-18,109.0
NO 30/9-B-18 A,109.0
NO 25/11-U-33,129.4
NO 25/11-U-34,129.4
NO 25/11-U-35,129.3
NO 25/11-U-36,129.3
NO 25/11-U-37,128.9
NO 25/11-U-38,128.9
NO 25/11-U-39,129.0
NO 25/11-U-40,129.0
NO 25/11-U-41,129.1
NO 25/11-U-42,128.9
NO 25/11-U-43,129.0
NO 25/11-U-44,128.2
NO 25/11-U-45,19.9
NO 25/11-U-46,125.8
NO 25/11-U-47,126.0
NO 25/11-U-5,129.0
NO 25/11-U-6,129.4
NO 25/11-U-7,128.7
NO 25/11-U-9,125.2
NO 25/12-1,135.0
NO 25/2-1,104.0
NO 25/2-10 S,120.0
NO 25/2-10 SR,120.0
NO 25/2-11,118.0
NO 25/2-11 T2,118.0
NO 25/2-12,115.0
NO 25/2-12 A,115.0
NO 25/2-12 AT2,115.0
NO 25/2-13,117.0
NO 25/2-13 T2,117.0
NO 25/2-13 T3,117.0
NO 30/3-A-17 CT2,175.0
NO 30/3-A-18,175.0
NO 30/3-A-18 A,175.0
NO 30/3-A-18 B,175.0
NO 30/3-A-19,175.0
NO 30/3-A-19 A,175.0
NO 30/3-A-19 C,175.0
NO 30/3-A-2,175.0
NO 30/3-A-2 A,175.0
NO 30/3-A-2 B,175.0
NO 30/3-A-2 C,175.0
NO 30/3-A-20,175.0
NO 30/3-A-20 B,175.0
NO 30/3-A-21,175.0
NO 30/3-A-21 A,175.0
NO 30/3-A-21 T2,175.0
NO 30/3-A-21 T3,175.0
NO 30/3-A-21 T4,175.0
NO 30/3-A-22,175.0
NO 30/3-A-22 A,175.0
NO 30/3-A-22 B,175.0
NO 30/3-A-23,175.0
NO 30/3-A-24 T2,175.0
NO 30/3-A-3,175.0
NO 25/1-A-21,98.0
NO 25/1-A-22,98.0
NO 25/1-A-22 A,98.0
NO 25/1-A-23,98.0
NO 25/1-A-24,98.0
NO 25/1-A-3,98.0
NO 25/1-A-3 A,98.0
NO 25/1-A-4,98.0
NO 25/1-A-4 A,98.0
NO 25/1-A-5,98.0
NO 25/1-A-6,98.0
NO 25/1-A-7,98.0
NO 25/1-A-8,98.0
NO 25/1-A-9,98.0
NO 25/1-B-3 H,103.0
NO 25/1-B-4 H,103.0
NO 25/1-B-5 H,103.0
NO 25/1-B-6 H,103.0
NO 25/10-1,124.0
NO 25/10-1 R,124.0
NO 25/10-10,123.5
NO 25/10-11,120.0
NO 25/10-11 T2,120.0
NO 25/10-12,116.0
NO 25/10-12 S,116.0
NO 25/10-12 ST2,116.0
NO 25/10-13 S,119.0
NO 25/10-14 S,120.0
NO 30/9-B-18 B,109.0
NO 30/9-B-19 AT2,109.0
NO 30/9-B-19 AT3,109.0
NO 30/9-B-19 B,109.0
NO 30/9-B-19 T2,109.0
NO 30/9-B-2,109.0
NO 30/9-B-20,109.0
NO 30/9-B-20 A,109.0
NO 30/9-B-20 T2,109.0
NO 30/9-B-20 T3,109.0
NO 30/9-B-21,109.0
NO 30/9-B-21 A,109.0
NO 30/9-B-21 B,109.0
NO 30/9-B-21 C,109.0
NO 30/9-B-23,109.0
NO 30/9-B-23 A,109.0
NO 30/9-B-23 B,109.0
NO 30/9-B-23 C,109.0
NO 30/9-B-23 CT2,109.0
NO 30/9-B-23 T2,109.0
NO 30/9-B-23 T3,109.0
NO 30/9-B-24,109.0
NO 30/9-B-24 AT2,109.0
NO 30/9-B-24 AT3,109.0
NO 30/9-B-24 B,109.0
NO 25/2-13 T4,117.0
NO 25/2-14,117.0
NO 25/2-15,120.0
NO 25/2-15 R2,120.0
NO 25/2-15 T2,120.0
NO 25/2-16 S,115.0
NO 25/2-16 ST2,115.0
NO 25/2-17,120.3
NO 25/2-18 A,121.0
NO 25/2-18 C,121.0
NO 25/2-18 S,121.0
NO 25/2-19 A,120.5
NO 25/2-2,104.0
NO 25/2-3,113.0
NO 25/2-4,113.0
NO 25/2-5,117.0
NO 25/2-6,117.0
NO 25/2-6 T2,117.0
NO 25/2-7,117.0
NO 25/2-8,106.0
NO 25/2-9,112.5
NO 25/2-A-1 H,112.0
NO 25/2-A-2 H,112.0
NO 25/2-A-3 H,112.0
NO 25/2-B-2 H,112.0
NO 25/2-C-1 H,112.0
NO 30/3-A-3 A,175.0
NO 30/3-A-3 AT2,175.0
NO 30/3-A-3 B,175.0
NO 30/3-A-3 C,175.0
NO 30/3-A-3 R,175.0
NO 30/3-A-4,175.0
NO 30/3-A-4 B,175.0
NO 30/3-A-5,175.0
NO 30/3-A-5 A,175.0
NO 30/3-A-5 B,175.0
NO 30/3-A-5 T2,175.0
NO 30/3-A-5 T3,175.0
NO 30/3-A-6,175.0
NO 30/3-A-6 A,175.0
NO 30/3-A-6 AT2,175.0
NO 30/3-A-7,175.0
NO 30/3-A-7 B,175.0
NO 30/3-A-7 C,175.0
NO 30/3-A-8 A,175.0
NO 30/3-A-9,175.0
NO 30/3-A-9 AT2,175.0
NO 30/3-A-9 T2,175.0
NO 30/3-A-9 T3,175.0
NO 30/3-U-1,0.0
NO 25/10-15 S,117.0
NO 25/10-2 R,121.0
NO 25/10-2 RT2,121.0
NO 25/10-2 RT3,121.0
NO 25/10-3,126.0
NO 25/10-4,126.0
NO 25/10-4 R,126.0
NO 25/10-5,125.0
NO 25/10-6 S,117.0
NO 25/10-7 S,117.0
NO 25/10-8,115.0
NO 25/10-8 A,115.0
NO 25/10-9,117.0
NO 25/10-U-1,0.0
NO 25/10-U-2,0.0
NO 25/10-U-3,0.0
NO 25/10-U-4,115.0
NO 25/10-U-5,100.0
NO 25/10-U-6,100.0
NO 25/11-1,126.0
NO 25/11-10,124.0
NO 25/11-11,126.0
NO 25/11-12,127.0
NO 25/11-14 S,127.0
NO 25/11-14 SR,127.0
NO 25/11-14 ST2,127.0
NO 25/11-15,127.0
NO 25/11-16,120.0
NO 25/11-17,124.0
NO 30/9-B-24 C,109.0
NO 30/9-B-25 A,109.0
NO 30/9-B-25 T2,109.0
NO 30/9-B-26,109.0
NO 30/9-B-26 A,109.0
NO 30/9-B-26 B,109.0
NO 30/9-B-26 C,109.0
NO 30/9-B-27,109.0
NO 30/9-B-27 A,109.0
NO 30/9-B-27 AT2,109.0
NO 30/9-B-27 B,109.0
NO 30/9-B-27 BT2,109.0
NO 30/9-B-27 CT3,109.0
NO 30/9-B-27 CT4,109.0
NO 30/9-B-27 CT5,109.0
NO 30/9-B-27 CT6,109.0
NO 30/9-B-27 D,109.0
NO 30/9-B-27 E,109.0
NO 30/9-B-27 T2,109.0
NO 30/9-B-28,109.0
NO 30/9-B-28 A,109.0
NO 30/9-B-28 T2,109.0
NO 30/9-B-28 T4,109.0
NO 30/9-B-29,109.0
NO 30/9-B-29 A,109.0
NO 25/2-C-3 H,112.0
NO 25/2-U-1,114.0
NO 25/2-U-2,114.0
NO 25/2-U-3,113.4
NO 25/2-U-5,112.6
NO 25/2-U-6,112.6
NO 25/2-U-7,119.0
NO 25/3-1,114.0
NO 25/4-1,122.0
NO 25/4-10 A,123.0
NO 25/4-11,112.0
NO 25/4-2,121.0
NO 25/4-3,121.0
NO 25/4-4,116.0
NO 25/4-5 T2,121.0
NO 25/4-6 S,114.0
NO 25/4-6 SR,114.0
NO 25/4-6 ST2,114.0
NO 25/4-7,119.0
NO 25/4-8,122.0
NO 25/4-9 S,120.0
NO 25/4-A-1,120.0
NO 25/4-A-12,120.2
NO 25/4-A-12 T2,120.2
NO 25/4-A-2,120.0
NO 25/4-A-3,120.0
NO 30/3-U-2,0.0
NO 30/3-U-3,0.0
NO 30/3-U-4,0.0
NO 30/3-U-5,0.0
NO 30/3-U-6,0.0
NO 30/3-U-7,0.0
NO 30/3-U-8,0.0
NO 30/4-1,120.5
NO 30/4-2,123.0
NO 30/4-3 S,115.0
NO 30/4-A-1 T2,115.0
NO 30/4-A-10,115.0
NO 30/4-A-12,115.0
NO 30/4-A-12 T2,115.0
NO 30/4-A-13,115.0
NO 30/4-A-17,115.0
NO 30/4-A-3,115.0
NO 30/4-A-3 A,115.0
NO 30/4-A-3 B,115.0
NO 30/4-A-6,115.0
NO 30/4-A-7,115.0
NO 30/4-A-8,115.0
NO 30/4-A-8 T2,115.0
NO 30/4-A-9,115.0
NO 30/4-D-1,120.0
NO 30/4-U-1,115.0
NO 30/5-1,106.0
NO 25/11-18,128.0
NO 25/11-19 S,129.0
NO 25/11-19 SR,129.0
NO 25/11-2,130.0
NO 25/11-20,122.0
NO 25/11-21 AT2,129.0
NO 25/11-21 S,129.0
NO 25/11-22,123.0
NO 25/11-23,127.0
NO 25/11-24,114.0
NO 25/11-25 A,125.0
NO 25/11-26,130.0
NO 25/11-27,127.5
NO 25/11-28,118.0
NO 25/11-4,127.0
NO 25/11-5,124.0
NO 25/11-6,125.7
NO 25/11-7,124.0
NO 25/11-8,126.0
NO 25/11-9,126.0
NO 25/11-A-19 AH,126.0
NO 25/11-A-19 H,126.0
NO 25/11-A-20 AH,126.0
NO 25/11-A-20 H,126.0
NO 25/11-A-21 AH,126.0
NO 30/9-B-29 B,109.0
NO 30/9-B-29 BT2,109.0
NO 30/9-B-29 BT3,109.0
NO 30/9-B-3,109.0
NO 30/9-B-30 A,109.0
NO 30/9-B-30 B,109.0
NO 30/9-B-30 BT2,109.0
NO 30/9-B-30 C,109.0
NO 30/9-B-30 CT2,109.0
NO 30/9-B-30 CT3,109.0
NO 30/9-B-30 D,109.0
NO 30/9-B-30 T2,109.0
NO 30/9-B-30 T3,109.0
NO 30/9-B-30 T4,109.0
NO 30/9-B-30 T5,109.0
NO 30/9-B-30 T6,109.0
NO 30/9-B-31,109.0
NO 30/9-B-32,109.0
NO 30/9-B-32 A,109.0
NO 30/9-B-32 B,109.0
NO 30/9-B-33 A,109.0
NO 30/9-B-33 B,109.0
NO 30/9-B-34,109.0
NO 30/9-B-35,109.0
NO 30/9-B-35 A,109.0
NO 25/4-A-4,120.0
NO 25/4-A-4 T2,120.0
NO 25/4-A-5,120.0
NO 25/4-A-6,120.0
NO 25/4-A-9,120.0
NO 25/4-C-1 AH,114.0
NO 25/4-C-1 AHT2,114.0
NO 25/4-C-1 AHT3,114.0
NO 25/4-C-1 H,114.0
NO 25/4-D-1 AH,122.0
NO 25/4-D-1 H,122.0
NO 25/4-D-1 HT2,122.0
NO 25/4-E-1 AH,122.0
NO 25/4-E-1 BY1H,122.0
NO 25/4-E-1 BY2H,122.0
NO 25/4-E-1 H,122.0
NO 25/4-F-1 AH,122.0
NO 25/4-F-1 H,122.0
NO 25/4-F-1 HT2,122.0
NO 25/4-J-1 AH,123.0
NO 25/4-J-1 H,123.0
NO 25/4-J-2 H,123.0
NO 25/4-K-1 H,119.0
NO 25/4-K-2 H,119.0
NO 25/4-K-3 AH,119.0
NO 25/4-K-3 H,119.0
NO 30/5-2,92.0
NO 30/5-3 A,113.0
NO 30/5-3 S,113.0
NO 30/6-1,106.0
NO 30/6-10,109.0
NO 30/6-10 A,109.0
NO 30/6-11,121.0
NO 30/6-12,104.0
NO 30/6-13,105.0
NO 30/6-13 R,105.0
NO 30/6-14,148.0
NO 30/6-15,107.0
NO 30/6-16,114.0
NO 30/6-17,110.5
NO 30/6-17 R,110.5
NO 30/6-18,108.0
NO 30/6-19,137.5
NO 30/6-19 R,137.5
NO 30/6-19 T2,137.5
NO 30/6-19 T3,137.5
NO 30/6-2,106.0
NO 30/6-21,112.0
NO 30/6-22 R,179.0
NO 30/6-23,152.5
NO 25/11-A-21 H,126.0
NO 25/11-A-22 AH,126.0
NO 25/11-A-22 H,126.0
NO 25/11-A-23 H,126.0
NO 25/11-A-27 H,126.0
NO 25/11-A-4 AH,126.0
NO 25/11-A-4 BH,126.0
NO 25/11-A-4 CH,126.0
NO 25/11-A-4 H,126.0
NO 25/11-A-5 AH,124.0
NO 25/11-A-5 BH,124.0
NO 25/11-A-5 H,124.0
NO 25/11-A-6 AH,126.0
NO 25/11-A-8 H,126.0
NO 25/11-B-14 AH,106.0
NO 25/11-B-14 H,106.0
NO 25/11-B-18 H,127.0
NO 25/11-B-24 AH,124.5
NO 25/11-B-24 H,124.5
NO 25/11-B-26 H,124.5
NO 25/11-B-28 AH,124.0
NO 25/11-B-28 H,124.0
NO 25/11-B-7 AH,124.0
NO 25/11-B-7 H,124.0
NO 25/11-C-12 H,127.0
NO 25/11-C-12 HT2,127.0
NO 25/11-C-13 H,126.0
NO 25/11-C-13 HT2,126.0
NO 25/11-C-17 H,124.0
NO 25/11-C-3 AH,127.0
NO 30/9-B-36 A,109.0
NO 30/9-B-37,109.0
NO 30/9-B-37 T2,109.0
NO 30/9-B-38,109.0
NO 30/9-B-38 A,109.0
NO 30/9-B-38 B,109.0
NO 30/9-B-38 C,109.0
NO 30/9-B-38 E,109.0
NO 30/9-B-38 ET2,109.0
NO 30/9-B-38 F,109.0
NO 30/9-B-38 T2,109.0
NO 30/9-B-39,109.0
NO 30/9-B-39 A,109.0
NO 30/9-B-39 T2,109.0
NO 30/9-B-39 T3,109.0
NO 30/9-B-4,109.0
NO 30/9-B-4 A,109.0
NO 30/9-B-4 B,109.0
NO 30/9-B-40 A,109.0
NO 30/9-B-40 AT2,109.0
NO 30/9-B-40 BT2,109.0
NO 30/9-B-40 BT3,109.0
NO 30/9-B-41,109.0
NO 30/9-B-41 A,109.0
NO 30/9-B-41 B,109.0
NO 25/4-K-5 H,119.0
NO 25/4-K-6 AH,119.0
NO 25/4-K-6 BY1H,119.0
NO 25/4-K-6 BY2H,119.0
NO 25/4-K-6 H,119.0
NO 25/4-L-1 AH,120.7
NO 25/4-L-1 BY1H,120.7
NO 25/4-L-1 BY2H,120.7
NO 25/4-L-1 H,120.7
NO 25/4-L-2 Y1H,120.7
NO 25/4-L-2 Y2H,120.7
NO 25/4-L-3 AY1H,120.7
NO 25/4-L-3 AY2H,120.7
NO 25/5-1,118.0
NO 25/5-1 A,118.0
NO 25/5-2,117.0
NO 25/5-2 T3,117.0
NO 25/5-3,118.0
NO 25/5-4,120.0
NO 25/5-5,122.0
NO 25/5-6,118.0
NO 25/5-7,119.0
NO 25/5-8,121.0
NO 25/5-9,122.0
NO 25/5-A-1,120.0
NO 25/5-A-10 T2,120.0
NO 25/5-A-2,120.0
NO 30/6-24 S,120.0
NO 30/6-25 S,104.0
NO 30/6-27,112.0
NO 30/6-28 S,110.0
NO 30/6-29 S,109.0
NO 30/6-3,105.0
NO 30/6-5,155.6
NO 30/6-6,113.5
NO 30/6-7,114.0
NO 30/6-8,121.0
NO 30/6-B-51 AH,105.0
NO 30/6-B-51 BH,105.0
NO 30/6-B-51 H,105.0
NO 30/6-C-1,108.6
NO 30/6-C-1 A,108.6
NO 30/6-C-1 T2,108.6
NO 30/6-C-10,108.6
NO 30/6-C-10 A,108.6
NO 30/6-C-10 AT2,108.6
NO 30/6-C-10 B,108.6
NO 30/6-C-10 C,108.6
NO 30/6-C-10 CT2,108.6
NO 30/6-C-10 CT3,108.6
NO 30/6-C-10 CT4,108.6
NO 30/6-C-10 D,108.6
NO 25/11-C-3 BH,127.0
NO 25/11-C-3 CH,127.0
NO 25/11-C-3 DH,127.0
NO 25/11-C-3 EH,127.0
NO 25/11-C-3 FH,127.0
NO 25/11-C-3 H,127.0
NO 25/11-D-1 H,127.7
NO 25/11-D-10 AH,127.0
NO 25/11-D-10 BH,127.0
NO 25/11-D-2 AH,128.0
NO 25/11-D-2 AHT2,128.0
NO 25/11-D-2 H,128.0
NO 25/11-D-21 H,128.0
NO 25/11-D-26 AH,127.0
NO 25/11-D-26 H,127.0
NO 25/11-E-29 AH,124.0
NO 25/11-E-29 H,124.0
NO 25/11-F-30 H,128.0
NO 25/11-F-31 H,128.0
NO 25/11-G-1 Y1,127.5
NO 25/11-G-1 Y2,127.5
NO 25/11-G-1 Y2T2,127.5
NO 25/11-G-1 Y3,127.5
NO 25/11-G-1 Y3T2,127.5
NO 25/11-G-1 Y4,127.5
NO 25/11-G-1 Y4T2,127.5
NO 25/11-G-10 Y1,127.5
NO 25/11-G-11,127.5
NO 30/9-B-42,109.0
NO 30/9-B-42 A,109.0
NO 30/9-B-42 T2,109.0
NO 30/9-B-43 A,109.0
NO 30/9-B-43 B,109.0
NO 30/9-B-44,109.0
NO 30/9-B-44 A,109.0
NO 30/9-B-44 B,109.0
NO 30/9-B-44 C,109.0
NO 30/9-B-44 CT2,109.0
NO 30/9-B-44 D,109.0
NO 30/9-B-44 T2,109.0
NO 30/9-B-45,109.0
NO 30/9-B-45 T2,109.0
NO 30/9-B-45 T3,109.0
NO 30/9-B-45 T4,109.0
NO 30/9-B-46 A,109.0
NO 30/9-B-46 AT2,109.0
NO 30/9-B-46 B,109.0
NO 30/9-B-46 C,109.0
NO 30/9-B-46 E,109.0
NO 30/9-B-46 ET2,109.0
NO 30/9-B-47,109.0
NO 30/9-B-47 A,109.0
NO 30/9-B-47 AT2,109.0
NO 25/5-A-2 A,120.0
NO 25/5-A-3,120.0
NO 25/5-A-4,120.0
NO 25/5-A-5,120.0
NO 25/5-A-6,120.0
NO 25/5-A-6 T2,120.0
NO 25/5-A-7 T2,120.0
NO 25/5-A-7 T4,120.0
NO 25/5-A-8,120.0
NO 25/5-A-9,120.0
NO 25/5-B-1 HT2,118.0
NO 25/5-C-1 AH,120.0
NO 25/5-C-1 H,120.0
NO 25/5-D-1 H,119.0
NO 25/5-U-1,120.0
NO 25/5-U-11,119.5
NO 25/5-U-12,119.5
NO 25/5-U-2,120.0
NO 25/5-U-21,120.0
NO 25/5-U-22,120.0
NO 25/5-U-23,120.0
NO 25/5-U-24,120.0
NO 25/5-U-25,120.0
NO 25/5-U-3,120.0
NO 25/5-U-4,120.0
NO 25/5-U-5,120.0
NO 25/5-U-6,120.0
NO 25/5-U-7,119.3
NO 25/5-U-8,119.5
NO 25/6-1,121.0
NO 30/6-C-10 DT2,108.6
NO 30/6-C-10 E,108.6
NO 30/6-C-10 ET2,108.6
NO 30/6-C-10 ET4,108.6
NO 30/6-C-10 EY1,108.6
NO 30/6-C-10 EY2,108.6
NO 30/6-C-11,108.6
NO 30/6-C-12,108.6
NO 30/6-C-12 A,108.6
NO 30/6-C-12 B,108.6
NO 30/6-C-12 C,108.6
NO 30/6-C-12 D,108.6
NO 30/6-C-12 T2,108.6
NO 30/6-C-12 T3,108.6
NO 30/6-C-12 T4,108.6
NO 30/6-C-12 T5,108.6
NO 30/6-C-12 T6,108.6
NO 30/6-C-13,108.6
NO 30/6-C-13 A,108.6
NO 30/6-C-13 AT2,108.6
NO 30/6-C-13 B,108.6
NO 30/6-C-14,109.0
NO 30/6-C-14 A,109.0
NO 30/6-C-14 T2,109.0
NO 30/6-C-15,108.6
NO 25/11-G-11 A,127.5
NO 25/11-G-11 AT2,127.5
NO 25/11-G-11 AT3,127.5
NO 25/11-G-11 AT4,127.5
NO 25/11-G-11 AT5,127.5
NO 25/11-G-11 AT6,127.5
NO 25/11-G-11 BY1,127.5
NO 25/11-G-11 BY1T2,127.5
NO 25/11-G-11 BY1T3,127.5
NO 25/11-G-11 BY1T4,127.5
NO 25/11-G-11 BY2,127.5
NO 25/11-G-11 BY3,127.5
NO 25/11-G-11 BY4,127.5
NO 25/11-G-11 CT2,127.5
NO 25/11-G-12 A,127.5
NO 25/11-G-12 AY1,127.5
NO 25/11-G-12 AY1T2,127.5
NO 25/11-G-12 AY2,127.5
NO 25/11-G-12 Y1,127.5
NO 25/11-G-12 Y1T2,127.5
NO 25/11-G-12 Y2,127.5
NO 25/11-G-13 A,127.5
NO 25/11-G-13 B,127.5
NO 25/11-G-13 Y1,127.5
NO 25/11-G-13 Y1T2,127.5
NO 30/9-B-47 T3,109.0
NO 30/9-B-47 T4,109.0
NO 30/9-B-47 T5,109.0
NO 30/9-B-48,109.0
NO 30/9-B-49 H,104.0
NO 30/9-B-5,109.0
NO 30/9-B-5 A,109.0
NO 30/9-B-5 AT2,109.0
NO 30/9-B-5 B,109.0
NO 30/9-B-5 C,109.0
NO 30/9-B-5 CT2,109.0
NO 30/9-B-5 D,109.0
NO 30/9-B-5 E,109.0
NO 30/9-B-50 H,103.0
NO 30/9-B-51 AH,109.0
NO 30/9-B-6,109.0
NO 30/9-B-6 T2,109.0
NO 30/9-B-7,109.0
NO 30/9-B-7 A,109.0
NO 30/9-B-7 B,109.0
NO 30/9-B-8,109.0
NO 30/9-B-9 A,109.0
NO 30/9-B-9 B,109.0
NO 30/9-B-9 C,109.0
NO 30/9-C-27 H,
NO 30/9-E-5 A,
NO 30/9-F-1,101.0
NO 25/6-2,119.0
NO 25/6-3,109.0
NO 25/6-4 S,114.0
NO 25/6-5 S,120.0
NO 25/7-1 S,127.0
NO 25/7-1 ST2,127.0
NO 25/7-2,124.0
NO 25/7-3,127.0
NO 25/7-4 S,126.0
NO 25/7-5,124.0
NO 25/7-6,124.0
NO 25/8-1,129.0
NO 25/8-10 S,129.0
NO 25/8-10 ST2,129.0
NO 25/8-11,128.0
NO 25/8-12 A,127.0
NO 25/8-12 S,127.0
NO 25/8-13,127.6
NO 25/8-14 S,128.0
NO 25/8-14 ST2,128.0
NO 25/8-16 A,126.0
NO 25/8-17,127.0
NO 25/8-17 A,127.0
NO 25/8-2,126.0
NO 25/8-3,130.0
NO 25/8-4,130.0
NO 25/8-5 S,126.0
NO 30/6-C-15 B,108.6
NO 30/6-C-15 BT2,108.6
NO 30/6-C-15 C,108.6
NO 30/6-C-15 CT2,108.6
NO 30/6-C-15 CT3,108.6
NO 30/6-C-15 CT4,108.6
NO 30/6-C-15 CT5,108.6
NO 30/6-C-15 CT7,108.6
NO 30/6-C-15 D,108.6
NO 30/6-C-16,108.6
NO 30/6-C-16 A,108.6
NO 30/6-C-17,108.6
NO 30/6-C-17 A,108.6
NO 30/6-C-17 B,108.6
NO 30/6-C-17 BT2,108.6
NO 30/6-C-17 C,108.6
NO 30/6-C-17 E,108.6
NO 30/6-C-18,108.6
NO 30/6-C-18 A,108.6
NO 30/6-C-18 AT2,108.6
NO 30/6-C-18 B,108.6
NO 30/6-C-18 T2,108.6
NO 30/6-C-19,108.6
NO 30/6-C-19 A,108.6
NO 25/11-G-13 Y2,127.5
NO 25/11-G-13 Y3,127.5
NO 25/11-G-13 Y3T2,127.5
NO 25/11-G-13 Y3T3,127.5
NO 25/11-G-13 Y4,127.5
NO 25/11-G-15,127.5
NO 25/11-G-15 AY1,127.5
NO 25/11-G-15 AY1T2,127.5
NO 25/11-G-15 AY2,127.5
NO 25/11-G-15 AY3T2,127.5
NO 25/11-G-15 AY3T3,127.5
NO 25/11-G-15 AY3T4,127.5
NO 25/11-G-15 BY,127.5
NO 25/11-G-16 A,127.5
NO 25/11-G-16 AY1,127.5
NO 25/11-G-16 AY1T2,127.5
NO 25/11-G-16 AY1T3,127.5
NO 25/11-G-16 AY2,127.5
NO 25/11-G-16 AY3,127.5
NO 25/11-G-16 Y1,127.5
NO 25/11-G-16 Y1T2,127.5
NO 25/11-G-16 Y2,127.5
NO 25/11-G-16 Y2T2,127.5
NO 25/11-G-16 Y3,127.5
NO 25/11-G-16 Y3T2,127.5
NO 30/9-F-1 A,101.0
NO 30/9-F-1 T2,101.0
NO 30/9-F-1 T3,101.0
NO 30/9-F-10 A,101.0
NO 30/9-F-10 T2,101.0
NO 30/9-F-11,101.0
NO 30/9-F-11 A,101.0
NO 30/9-F-12 A,101.0
NO 30/9-F-12 B,101.0
NO 30/9-F-13,101.0
NO 30/9-F-13 A,101.0
NO 30/9-F-13 AT2,101.0
NO 30/9-F-13 B,101.0
NO 30/9-F-13 T2,101.0
NO 30/9-F-14,101.0
NO 30/9-F-14 A,101.0
NO 30/9-F-14 B,101.0
NO 30/9-F-15 A,101.0
NO 30/9-F-15 B,101.0
NO 30/9-F-16 A,101.0
NO 30/9-F-16 B,101.0
NO 30/9-F-17 A,101.0
NO 30/9-F-17 B,101.0
NO 25/8-5 SR,126.0
NO 25/8-6 T2,128.0
NO 25/8-7,123.0
NO 25/8-8 A,126.5
NO 25/8-8 B,126.5
NO 25/8-8 S,126.5
NO 25/8-9 A,125.0
NO 25/8-B-1,127.0
NO 25/8-B-11,127.0
NO 25/8-B-12,127.0
NO 25/8-B-12 A,127.0
NO 25/8-B-12 B,127.0
NO 25/8-B-15,127.0
NO 25/8-B-17,127.0
NO 25/8-B-18,127.0
NO 25/8-B-2,127.0
NO 25/8-B-2 A,127.0
NO 25/8-B-20,127.0
NO 25/8-B-21 A,127.0
NO 25/8-B-21 B,127.0
NO 25/8-B-21 C,127.0
NO 25/8-B-22,127.0
NO 25/8-B-22 A,127.0
NO 25/8-B-23,127.0
NO 25/8-B-23 A,127.0
NO 25/8-B-24,127.0
NO 25/8-B-25,127.0
NO 25/8-B-28,127.0
NO 25/8-B-28 A,127.0
NO 25/8-B-28 B,127.0
NO 30/6-C-19 B,108.6
